X1	X2	X3	X4	X5	Y1	Y2	Y3	Y4	Y5	Y6	Y7
2.7	2.8	3.4	3.3	2.3	116.0	78.0	194.0	47.0	17.0	18.0	26.0
2.8	2.9	3.9	4.0	2.3	120.0	82.0	202.0	53.0	20.0	19.0	29.0
2.4	3.8	2.9	3.5	1.6	113.0	76.0	189.0	66.0	21.0	18.0	34.0
3.1	2.9	2.8	3.1	3.3	90.0	68.0	158.0	50.0	22.0	20.0	27.0
1.9	3.5	3.6	3.8	1.8	125.0	80.0	205.0	62.0	27.0	21.0	26.0
2.8	3.1	3.9	3.4	2.6	133.0	89.0	222.0	57.0	26.0	16.0	27.0
2.2	3.1	2.9	2.8	2.8	118.0	91.0	209.0	63.0	20.0	26.0	30.0
2.9	3.8	3.6	4.4	2.5	135.0	103.0	238.0	46.0	17.0	14.0	30.0
2.1	4.0	3.4	4.5	2.6	139.0	89.0	228.0	58.0	26.0	25.0	39.0
2.8	3.8	3.9	3.6	2.8	140.0	89.0	229.0	60.0	12.0	17.0	34.0
2.7	3.4	3.9	3.5	2.5	125.0	104.0	229.0	63.0	21.0	19.0	30.0
1.3	3.1	4.2	4.4	2.6	121.0	85.0	206.0	63.0	30.0	24.0	29.0
1.8	3.3	4.4	3.5	1.5	133.0	89.0	222.0	60.0	29.0	24.0	31.0
2.9	3.4	3.3	3.9	4.0	0.0	0.0	0.0	47.0	31.0	24.0	34.0
1.9	3.8	2.9	5.0	2.5	147.0	112.0	259.0	55.0	20.0	22.0	32.0
2.4	4.3	3.7	3.1	2.1	163.0	85.0	248.0	58.0	15.0	17.0	34.0
2.9	4.1	2.9	3.1	3.6	134.0	89.0	223.0	55.0	26.0	24.0	30.0
2.3	3.3	3.4	3.3	2.1	133.0	94.0	227.0	52.0	29.0	21.0	29.0
1.9	4.3	3.9	4.9	2.8	116.0	77.0	193.0	62.0	21.0	19.0	37.0
3.3	3.9	3.6	4.1	3.8	136.0	73.0	209.0	61.0	28.0	21.0	19.0
3.2	4.0	2.9	3.3	2.9	137.0	90.0	227.0	59.0	27.0	23.0	33.0
3.6	3.8	3.7	3.3	3.1	117.0	87.0	204.0	50.0	9.0	15.0	31.0
2.6	3.1	3.6	4.0	2.3	124.0	90.0	214.0	56.0	24.0	21.0	33.0
