	v1A1	v2A1	v3A1	v4A1	v5A1	v6A1	v7A1	v8A1	v9A1	v10A1	v11A1	v12A1	v13A1	v14A1	v15A1
Mue015a	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Mue016a	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Mue017a	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Mue018a	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Mue019a	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Mue020a	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Mue022a	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Mue023a	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Mue024a	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AG16	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AG20	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
CN01	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
DR09	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0
BE30	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ET12	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
HL28	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
IT27	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
KA04	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
LT21	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
MR02	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ND02	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
NT06	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
OB21	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0
OT05	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
RB03	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
RB21	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
RB28	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
RC09	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
RL14	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
RR05	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
RR06	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
RR13	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
RR21	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
RR25	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
RT29	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
TG14	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
TG31	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
TS03	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
UG07	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Fa000042	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Fa000082	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0
Fa000307	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Fa000308	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0
Fa000309	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Fa000310	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0
Fa000313	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
FA000323	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Fa000327	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Fa000335	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Fa000336	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Fa000337	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0
Fa000338	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Fa000351	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Fa000354	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Fa000356	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0
Fa000359	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Fa000360	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Fa000370	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Fa000371	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Fa000373	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Fa000376	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Fa000377	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Fa000379	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0
Fa000380	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Fa000381	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Fa000383	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Fa000384	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0
Fa000385	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Fa000388	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Fa000389	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Fa000393	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Fa000394	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0
Fa000396	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
